"","Units","scenario","region","gcam-consumer","year","value","Scenario","climate"
"202","None Specified","Reference","Central Asia","FoodDemand",2010,81534,"GCAM","None"
"203","None Specified","Reference","Central Asia","FoodDemand",2015,88051,"GCAM","None"
"204","None Specified","Reference","Central Asia","FoodDemand",2020,91528,"GCAM","None"
"205","None Specified","Reference","Central Asia","FoodDemand",2025,94287,"GCAM","None"
"206","None Specified","Reference","Central Asia","FoodDemand",2030,96353,"GCAM","None"
"207","None Specified","Reference","Central Asia","FoodDemand",2035,97911,"GCAM","None"
"208","None Specified","Reference","Central Asia","FoodDemand",2040,99103,"GCAM","None"
"209","None Specified","Reference","Central Asia","FoodDemand",2045,99832,"GCAM","None"
"210","None Specified","Reference","Central Asia","FoodDemand",2050,99981,"GCAM","None"
"211","None Specified","Reference","Central Asia","FoodDemand",2055,99590,"GCAM","None"
"212","None Specified","Reference","Central Asia","FoodDemand",2060,98781,"GCAM","None"
"213","None Specified","Reference","Central Asia","FoodDemand",2065,97769,"GCAM","None"
"214","None Specified","Reference","Central Asia","FoodDemand",2070,96551,"GCAM","None"
"215","None Specified","Reference","Central Asia","FoodDemand",2075,95122,"GCAM","None"
"216","None Specified","Reference","Central Asia","FoodDemand",2080,93500,"GCAM","None"
"217","None Specified","Reference","Central Asia","FoodDemand",2085,91781,"GCAM","None"
"218","None Specified","Reference","Central Asia","FoodDemand",2090,90071,"GCAM","None"
"219","None Specified","Reference","Central Asia","FoodDemand",2095,88412,"GCAM","None"
"220","None Specified","Reference","Central Asia","FoodDemand",2100,86771,"GCAM","None"
"221","None Specified","Reference","China","FoodDemand",1975,930691,"GCAM","None"
"222","None Specified","Reference","China","FoodDemand",1990,1182960,"GCAM","None"
"223","None Specified","Reference","China","FoodDemand",2005,1338030,"GCAM","None"
"224","None Specified","Reference","China","FoodDemand",2010,1376320,"GCAM","None"
"225","None Specified","Reference","China","FoodDemand",2015,1414640,"GCAM","None"
"226","None Specified","Reference","China","FoodDemand",2020,1431260,"GCAM","None"
"227","None Specified","Reference","China","FoodDemand",2025,1437680,"GCAM","None"
"228","None Specified","Reference","China","FoodDemand",2030,1433380,"GCAM","None"
"229","None Specified","Reference","China","FoodDemand",2035,1417840,"GCAM","None"
"230","None Specified","Reference","China","FoodDemand",2040,1391620,"GCAM","None"
"231","None Specified","Reference","China","FoodDemand",2045,1356310,"GCAM","None"
"232","None Specified","Reference","China","FoodDemand",2050,1313220,"GCAM","None"
"233","None Specified","Reference","China","FoodDemand",2055,1264140,"GCAM","None"
"234","None Specified","Reference","China","FoodDemand",2060,1211040,"GCAM","None"
"235","None Specified","Reference","China","FoodDemand",2065,1156060,"GCAM","None"
"236","None Specified","Reference","China","FoodDemand",2070,1101080,"GCAM","None"
"237","None Specified","Reference","China","FoodDemand",2075,1046470,"GCAM","None"
"238","None Specified","Reference","China","FoodDemand",2080,992245,"GCAM","None"
"239","None Specified","Reference","China","FoodDemand",2085,939257,"GCAM","None"
"240","None Specified","Reference","China","FoodDemand",2090,889160,"GCAM","None"
"241","None Specified","Reference","China","FoodDemand",2095,842988,"GCAM","None"
"242","None Specified","Reference","China","FoodDemand",2100,800756,"GCAM","None"
"243","None Specified","Reference","Colombia","FoodDemand",1975,24066,"GCAM","None"
"244","None Specified","Reference","Colombia","FoodDemand",1990,33103,"GCAM","None"
