"","L106.income_distributions.region","L106.income_distributions.gcam.consumer","L106.income_distributions.subregional.population.share","L106.income_distributions.subregional.income.share","L106.income_distributions.year"
"314","Africa_Western","d3",0.1,0.033995328,2030
"315","Pakistan","d1",0.1,0.033159045,2030
"316","South Asia","d8",0.1,0.117875885,1975
"317","South Asia","d4",0.1,0.053126078,2010
"318","Africa_Southern","d1",0.1,0.013556414,2060
"319","South America_Southern","d2",0.1,0.022060226,1990
"320","Indonesia","d1",0.1,0.032754511,1990
"321","Africa_Southern","d5",0.1,0.04415392,2025
"322","Southeast Asia","d2",0.1,0.019518788,2005
"323","Southeast Asia","d5",0.1,0.055414601,1975
"324","Africa_Eastern","d3",0.1,0.041562158,2035
"325","Central Asia","d2",0.1,0.020052531,2010
"326","India","d2",0.1,0.009950704,2045
"327","Africa_Eastern","d6",0.1,0.075803151,2020
"328","Africa_Western","d5",0.1,0.048892622,2010
"329","Africa_Western","d5",0.1,0.048709667,2015
"330","Colombia","d1",0.1,0.011906549,2015
"331","India","d5",0.1,0.08037456,1990
"332","Africa_Eastern","d7",0.1,0.08006793,2010
"333","Africa_Western","d2",0.1,0.023651325,2040
"334","South Africa","d2",0.1,0.010603323,2020
"335","Africa_Eastern","d5",0.1,0.063230892,2025
"336","India","d4",0.1,0.04460446,2005
"337","South Africa","d1",0.1,0.004553324,2055
"338","Colombia","d1",0.1,0.010776745,2025
"339","Africa_Southern","d7",0.1,0.080630498,1975
"340","South Asia","d4",0.1,0.051437126,2015
"341","India","d1",0.1,0.002681861,2100
"342","China","d8",0.1,0.11895558,1975
"343","Indonesia","d1",0.1,0.020908551,2020
"344","Africa_Southern","d6",0.1,0.052939597,2020
"345","Africa_Eastern","d4",0.1,0.052544115,2030
"346","South Asia","d6",0.1,0.069819502,2005
"347","Africa_Western","d4",0.1,0.044336835,2025
"348","Pakistan","d2",0.1,0.049007957,2020
"349","Middle East","d1",0.1,0.009418809,2025
"350","Central America and Caribbean","d3",0.1,0.029823762,1990
"351","Africa_Southern","d6",0.1,0.05575698,2010
"352","Southeast Asia","d4",0.1,0.035077186,1990
"353","Brazil","d2",0.1,0.015757153,1990
"354","Africa_Eastern","d7",0.1,0.082560894,2015
"355","India","d3",0.1,0.033656325,2015
"356","Central Asia","d2",0.1,0.01852161,2015
"357","Indonesia","d4",0.1,0.061345734,1975
"358","Brazil","d1",0.1,0.01093141,2020
"359","Africa_Western","d5",0.1,0.056182616,2020
"360","Middle East","d1",0.1,0.009633758,1990
"361","South Africa","d3",0.1,0.01370137,2010
"362","Southeast Asia","d1",0.1,0.013559102,2030
"363","South Africa","d1",0.1,0.016257295,1975
"364","Africa_Eastern","d8",0.1,0.11120714,1975
"365","India","d3",0.1,0.022863334,2025
"366","South Africa","d3",0.1,0.017025124,1990
"367","India","d2",0.1,0.009301209,2050
"368","India","d2",0.1,0.002859036,2100
"369","South Asia","d4",0.1,0.054166011,2020
"370","Africa_Southern","d3",0.1,0.031908538,2040
"371","Pakistan","d6",0.1,0.086587398,1975
"372","South Asia","d1",0.1,0.020948853,2045
"373","South Asia","d3",0.1,0.043773526,2025
"374","Africa_Southern","d6",0.1,0.057438712,2015
"375","Central America and Caribbean","d3",0.1,0.033149475,1975
"376","Central America and Caribbean","d3",0.1,0.027261874,2005
"377","Middle East","d1",0.1,0.00906534,1975
"378","South Africa","d1",0.1,0.004578406,2060
"379","India","d6",0.1,0.090155252,1990
"380","Colombia","d1",0.1,0.010614892,2030
"381","South Africa","d3",0.1,0.01561925,2005
"382","Central America and Caribbean","d2",0.1,0.017564016,2025
"383","Pakistan","d4",0.1,0.056859046,1990
"384","South Asia","d5",0.1,0.061735839,2010
"385","South America_Southern","d3",0.1,0.029015505,1975
"386","China","d8",0.1,0.110194963,1990
"387","South America_Southern","d1",0.1,0.013168235,2015
"388","South Asia","d8",0.1,0.113253254,1990
"389","Central America and Caribbean","d1",0.1,0.010455707,2045
"390","Africa_Southern","d4",0.1,0.039577316,2035
"391","South America_Southern","d1",0.1,0.011730651,2020
"392","Africa_Western","d7",0.1,0.08431109,1990
"393","Taiwan","d1",0.1,0.032882602,1975
"394","Pakistan","d2",0.1,0.046472662,2005
"395","India","d2",0.1,0.008691548,2055
"396","South Asia","d2",0.1,0.031957176,2035
"397","Africa_Eastern","d1",0.1,0.020704719,2055
"398","Mexico","d1",0.1,0.0148806,1990
"399","Brazil","d1",0.1,0.01063809,2025
"400","India","d9",0.1,0.152327462,1975
"401","Pakistan","d1",0.1,0.033502044,2035
"402","South Africa","d2",0.1,0.010684734,2025
"403","South Asia","d5",0.1,0.060263372,2015
"404","Brazil","d1",0.1,0.012500625,2015
"405","Brazil","d1",0.1,0.012755808,2010
"406","China","d1",0.1,0.019259941,2010
"407","Southeast Asia","d2",0.1,0.020042041,2010
"408","Central Asia","d1",0.1,0.014350336,2025
"409","Africa_Southern","d5",0.1,0.046913751,2030
"410","Africa_Northern","d1",0.1,0.022865308,1990
"411","Africa_Eastern","d8",0.1,0.116805384,1990
"412","Colombia","d2",0.1,0.024716434,1990
"413","Africa_Western","d3",0.1,0.034591924,2035
"414","Africa_Western","d6",0.1,0.069273904,2005
"415","Southeast Asia","d6",0.1,0.067543138,1975
"416","Africa_Southern","d2",0.1,0.02479822,2050
"417","Africa_Eastern","d7",0.1,0.092524822,2020
"418","Africa_Eastern","d2",0.1,0.033097031,2045
"419","Central America and Caribbean","d3",0.1,0.026891889,2010
"420","Africa_Southern","d7",0.1,0.075909243,2005
"421","Africa_Eastern","d6",0.1,0.076428695,2025
"422","South America_Northern","d1",0.1,0.013455861,1990
"423","China","d9",0.1,0.143117854,1975
"424","Pakistan","d2",0.1,0.049294879,2025
"425","Africa_Western","d7",0.1,0.092771079,1975
"426","Central Asia","d3",0.1,0.029466,2005
"427","South Africa","d1",0.1,0.004596807,2065
"428","Middle East","d1",0.1,0.009913007,2030
"429","South Asia","d7",0.1,0.084052204,2005
"430","Indonesia","d5",0.1,0.071494024,1975
"431","Southeast Asia","d2",0.1,0.022183618,2020
"432","India","d3",0.1,0.021234009,2030
"433","India","d5",0.1,0.055005501,2005
"434","Africa_Western","d1",0.1,0.016140871,2055
"435","South Africa","d3",0.1,0.015472213,2015
"436","Africa_Eastern","d5",0.1,0.064048551,2030
"437","Pakistan","d3",0.1,0.058817477,2020
"438","Colombia","d1",0.1,0.010523593,2035
"439","South America_Southern","d2",0.1,0.019814772,2005
"440","Pakistan","d7",0.1,0.099616116,1975
"441","Africa_Southern","d1",0.1,0.014258129,2065
"442","India","d2",0.1,0.008138702,2060
"443","Africa_Eastern","d3",0.1,0.042707865,2040
"444","Europe_Non_EU","d1",0.1,0.019418539,1990
"445","Africa_Western","d2",0.1,0.024381368,2045
"446","India","d7",0.1,0.101898336,1990
"447","South Asia","d5",0.1,0.063497323,2020
"448","Africa_Southern","d6",0.1,0.056773475,2025
"449","Africa_Eastern","d8",0.1,0.112293369,2005
"450","Africa_Eastern","d4",0.1,0.053368208,2035
"451","Africa_Western","d4",0.1,0.04443074,2030
"452","Southeast Asia","d1",0.1,0.013935582,2035
"453","China","d2",0.1,0.034130702,2005
"454","Europe_Eastern","d1",0.1,0.02571098,2005
"455","India","d2",0.1,0.044043036,2010
"456","Brazil","d1",0.1,0.010503389,2030
"457","India","d1",0.1,0.005161305,2080
"458","Central Asia","d2",0.1,0.029771585,1990
"459","Africa_Western","d5",0.1,0.056200407,2025
"460","Pakistan","d5",0.1,0.066127552,1990
"461","Central Asia","d3",0.1,0.026712207,2010
"462","Africa_Northern","d2",0.1,0.026620593,1975
"463","Middle East","d1",0.1,0.011340725,2005
"464","Indonesia","d1",0.1,0.029982077,2005
"465","India","d4",0.1,0.036334461,2020
"466","Colombia","d4",0.1,0.035634261,1975
"467","Africa_Western","d6",0.1,0.070293538,2020
"468","Indonesia","d1",0.1,0.020937006,2025
"469","South Africa","d1",0.1,0.004583398,2070
"470","South Asia","d6",0.1,0.072486555,2010
"471","South Asia","d3",0.1,0.043640174,2030
"472","Southeast Asia","d3",0.1,0.026468778,2005
"473","Middle East","d1",0.1,0.010201197,2015
"474","South Asia","d4",0.1,0.053538838,2025
"475","India","d2",0.1,0.007665421,2065
"476","Africa_Southern","d7",0.1,0.069863236,2020
"477","Africa_Southern","d3",0.1,0.033566222,2045
"478","Colombia","d2",0.1,0.022639812,2005
"479","South Asia","d9",0.1,0.163161243,1975
"480","Southeast Asia","d5",0.1,0.045115032,1990
"481","Africa_Western","d6",0.1,0.066878284,2010
"482","Pakistan","d2",0.1,0.049513945,2010
"483","South Asia","d1",0.1,0.022142827,2050
"484","Middle East","d1",0.1,0.010821521,2010
"485","Central America and Caribbean","d2",0.1,0.018627885,2030
"486","Pakistan","d2",0.1,0.048485572,2015
"487","India","d4",0.1,0.043737718,2015
"488","Africa_Western","d6",0.1,0.06713733,2015
"489","South Africa","d2",0.1,0.010788851,2030
"490","South Asia","d6",0.1,0.070499031,2015
"491","Brazil","d3",0.1,0.024407065,1975
"492","South America_Southern","d1",0.1,0.012007147,2025
"493","Colombia","d1",0.1,0.010444702,2040
"494","Pakistan","d3",0.1,0.055949981,2005
"495","Africa_Southern","d8",0.1,0.111570129,1975
"496","Africa_Eastern","d8",0.1,0.112733857,2010
"497","Argentina","d1",0.1,0.013943028,2005
"498","Mexico","d1",0.1,0.0138,2005
"499","Mexico","d1",0.1,0.013505402,2010
"500","Africa_Southern","d7",0.1,0.075396378,2010
"501","Brazil","d1",0.1,0.010451471,2035
"502","Indonesia","d2",0.1,0.047363491,1990
"503","Central America and Caribbean","d3",0.1,0.025553358,2020
"504","India","d3",0.1,0.020218536,2035
"505","Africa_Southern","d8",0.1,0.111875968,1990
"506","Pakistan","d4",0.1,0.067462289,2020
"507","Argentina","d1",0.1,0.019490255,1990
"508","Indonesia","d6",0.1,0.083057506,1975
"509","Central Asia","d3",0.1,0.025211808,2015
"510","South Asia","d2",0.1,0.032844192,2040
"511","Africa_Southern","d4",0.1,0.04260386,2040
